Autor;Ano;Número Emenda;Tipo Emenda;Valor Empenhado;UF;Função;Subfunção;Localidade do Gasto;Data do Empenho
JULIO CESAR RIBEIRO;2023;20234075;Individual;R$ 4,210,250,70;GO;Saneamento Básico;Saneamento Básico;SP (UF);05/07/2023
CARLOS ZARATTINI;2023;20238573;Individual;R$ 4,648,179,05;GO;Ensino Fundamental;Ensino Superior;RS (UF);28/03/2023
DEPUTADO ALENCAR SANTANA;2023;20234041;Comissão;R$ 1,603,188,60;SP;Atenção Básica à Saúde;Ensino Superior;PR (UF);19/07/2023
DANIEL ALMEIDA FILHO;2023;20237274;Comissão;R$ 706,983,09;BA;Vigilância Epidemiológica;Ensino Fundamental;MG (UF);19/08/2023
DEPUTADO EDUARDO BARBOSA;2023;20234802;Bancada;R$ 4,007,432,82;MG;Atenção Básica à Saúde;Ensino Fundamental;SP (UF);16/02/2023
DANIEL ALMEIDA;2023;20236542;Comissão;R$ 305,845,14;SC;Ensino Superior;Vigilância Epidemiológica;GO (UF);07/08/2023
FELIPE BORNIER;2023;20237787;Individual;R$ 3,615,033,39;SC;Assistência Hospitalar e Ambulatorial;Vigilância Epidemiológica;RJ (UF);25/02/2023
EDUARDO BARBOSA;2023;20237380;Bancada;R$ 3,735,419,52;RJ;Ensino Fundamental;Ensino Médio;DF (UF);15/06/2023
DEPUTADO EDUARDO BARBOSA;2023;20238485;Comissão;R$ 1,627,191,57;RS;Ensino Superior;Educação Infantil;GO (UF);12/12/2023
GUILHERME MUSSI;2023;20237381;Comissão;R$ 1,284,303,45;RJ;Saneamento Básico;Saneamento Básico;BA (UF);16/04/2023
DEPUTADO EDUARDO BARBOSA;2023;20231680;Bancada;R$ 1,586,896,80;RS;Ensino Superior;Ensino Superior;SC (UF);09/08/2023
HERCÍLIO DINIZ;2023;20237574;Comissão;R$ 3,034,908,80;DF;Segurança Pública;Assistência Hospitalar e Ambulatorial;MG (UF);09/09/2023
EDUARDO BARBOSA;2023;20238724;Bancada;R$ 936,190,92;PE;Saneamento Básico;Atenção Básica à Saúde;MG (UF);17/06/2023
DEPUTADO HERCÍLIO DINIZ;2023;20235267;Comissão;R$ 1,260,321,92;DF;Ensino Médio;Assistência Hospitalar e Ambulatorial;MG (UF);16/10/2023
FELIPE BORNIER;2023;20231522;Individual;R$ 3,131,710,59;DF;Ensino Superior;Infraestrutura Urbana;PE (UF);13/05/2023
DEPUTADO HERCÍLIO DINIZ;2023;20239096;Individual;R$ 2,987,236,68;RS;Vigilância Epidemiológica;Atenção Básica à Saúde;RS (UF);24/07/2023
GUILHERME MUSSI;2023;20232760;Individual;R$ 1,628,205,14;SC;Educação Infantil;Ensino Superior;GO (UF);21/08/2023
ELICORRÊA FILHO;2023;20238900;Comissão;R$ 1,222,023,36;PE;Ensino Superior;Infraestrutura Urbana;RJ (UF);08/12/2023
FELIPE BORNIER;2023;20235188;Comissão;R$ 54,999,79;DF;Infraestrutura Urbana;Vigilância Epidemiológica;SC (UF);02/06/2023
GUILHERME MUSSI;2023;20236102;Comissão;R$ 3,873,439,55;SC;Infraestrutura Urbana;Educação Infantil;GO (UF);18/11/2023
EDUARDO BARBOSA FILHO;2023;20238068;Comissão;R$ 4,925,227,98;RS;Atenção Básica à Saúde;Saneamento Básico;SC (UF);20/01/2023
BACELAR;2023;20235392;Individual;R$ 3,497,994,98;SP;Ensino Superior;Ensino Médio;GO (UF);07/09/2023
BACELAR;2023;20233193;Comissão;R$ 3,136,698,05;SC;Ensino Médio;Vigilância Epidemiológica;RJ (UF);28/04/2023
DEPUTADO ELICORRÊA;2023;20234240;Bancada;R$ 3,512,244,47;MG;Ensino Fundamental;Vigilância Epidemiológica;BA (UF);22/11/2023
HERCÍLIO DINIZ;2023;20231191;Individual;R$ 4,099,286,69;SC;Segurança Pública;Saneamento Básico;RS (UF);05/03/2023
DANIEL ALMEIDA;2023;20232418;Individual;R$ 4,610,255,22;PE;Vigilância Epidemiológica;Ensino Fundamental;MG (UF);07/08/2023
JULIO CESAR RIBEIRO;2023;20235372;Bancada;R$ 3,589,307,98;BA;Ensino Fundamental;Vigilância Epidemiológica;BA (UF);26/03/2023
BACELAR;2023;20238378;Comissão;R$ 4,084,238,08;PE;Assistência Hospitalar e Ambulatorial;Ensino Médio;BA (UF);20/11/2023
FELIPE BORNIER FILHO;2023;20231725;Individual;R$ 1,063,567,52;DF;Segurança Pública;Atenção Básica à Saúde;RS (UF);11/02/2023
GUILHERME MUSSI;2023;20237604;Comissão;R$ 4,021,759,36;BA;Ensino Fundamental;Educação Infantil;RJ (UF);20/01/2023
DANIEL ALMEIDA FILHO;2023;20236945;Comissão;R$ 2,933,285,41;RJ;Infraestrutura Urbana;Assistência Hospitalar e Ambulatorial;PE (UF);21/07/2023
DEPUTADO ELICORRÊA;2023;20234859;Individual;R$ 4,836,515,56;PE;Assistência Hospitalar e Ambulatorial;Educação Infantil;SP (UF);25/11/2023
DEPUTADO HERCÍLIO DINIZ;2023;20233978;Comissão;R$ 1,496,022,59;DF;Ensino Superior;Ensino Fundamental;GO (UF);26/09/2023
DEPUTADO FELIPE BORNIER;2023;20231295;Individual;R$ 294,392,57;PE;Vigilância Epidemiológica;Ensino Superior;PE (UF);28/09/2023
DEPUTADO ELICORRÊA;2023;20237429;Individual;R$ 62,681,07;DF;Vigilância Epidemiológica;Ensino Superior;BA (UF);06/12/2023
JULIO CESAR RIBEIRO;2023;20235300;Individual;R$ 785,609,67;RJ;Saneamento Básico;Assistência Hospitalar e Ambulatorial;BA (UF);06/09/2023
ELICORRÊA;2023;20232965;Bancada;R$ 710,281,29;SC;Assistência Hospitalar e Ambulatorial;Ensino Superior;SC (UF);14/01/2023
ELICORRÊA;2023;20232032;Comissão;R$ 3,386,183,59;BA;Infraestrutura Urbana;Ensino Médio;PR (UF);18/07/2023
JULIO CESAR RIBEIRO;2023;20231414;Bancada;R$ 3,089,740,67;RJ;Ensino Fundamental;Infraestrutura Urbana;PE (UF);12/07/2023
HERCÍLIO DINIZ;2023;20232045;Comissão;R$ 4,500,501,67;DF;Ensino Fundamental;Educação Infantil;PR (UF);14/02/2023
BACELAR;2023;20232104;Individual;R$ 1,243,197,28;MG;Educação Infantil;Educação Infantil;MG (UF);15/06/2023
BACELAR;2023;20235097;Bancada;R$ 3,104,333,90;BA;Ensino Superior;Ensino Superior;DF (UF);27/11/2023
GUILHERME MUSSI;2023;20239281;Individual;R$ 4,590,357,69;PR;Infraestrutura Urbana;Vigilância Epidemiológica;BA (UF);08/02/2023
FELIPE BORNIER;2023;20232925;Individual;R$ 4,613,519,12;DF;Saneamento Básico;Infraestrutura Urbana;GO (UF);17/02/2023
ELICORRÊA;2023;20232914;Comissão;R$ 184,001,22;SP;Vigilância Epidemiológica;Assistência Hospitalar e Ambulatorial;RJ (UF);20/12/2023
BACELAR;2023;20232567;Individual;R$ 2,260,916,69;GO;Vigilância Epidemiológica;Saneamento Básico;DF (UF);08/04/2023
ALENCAR SANTANA;2023;20239725;Individual;R$ 207,936,93;RS;Vigilância Epidemiológica;Infraestrutura Urbana;PR (UF);20/01/2023
GUILHERME MUSSI FILHO;2023;20232211;Bancada;R$ 2,192,160,02;BA;Segurança Pública;Ensino Superior;SC (UF);27/01/2023
EDUARDO BARBOSA;2023;20234638;Bancada;R$ 73,976,67;MG;Ensino Médio;Saneamento Básico;RJ (UF);27/09/2023
DANIEL ALMEIDA;2023;20232491;Individual;R$ 4,528,951,17;RS;Ensino Superior;Infraestrutura Urbana;DF (UF);19/01/2023
EDUARDO BARBOSA;2023;20232878;Comissão;R$ 189,279,94;PE;Atenção Básica à Saúde;Assistência Hospitalar e Ambulatorial;BA (UF);28/12/2023
EDUARDO BARBOSA;2023;20232667;Comissão;R$ 2,115,454,57;BA;Ensino Superior;Ensino Superior;MG (UF);08/02/2023
JULIO CESAR RIBEIRO;2023;20234631;Individual;R$ 2,234,070,89;BA;Ensino Médio;Ensino Superior;PE (UF);26/09/2023
BACELAR;2023;20238644;Comissão;R$ 3,010,933,93;RJ;Ensino Fundamental;Saneamento Básico;SC (UF);28/06/2023
FELIPE BORNIER;2023;20235779;Individual;R$ 2,378,548,63;RJ;Ensino Superior;Atenção Básica à Saúde;DF (UF);01/06/2023
EDUARDO BARBOSA;2023;20235078;Comissão;R$ 1,241,376,91;RJ;Segurança Pública;Saneamento Básico;MG (UF);11/11/2023
EDUARDO BARBOSA FILHO;2023;20231167;Individual;R$ 1,584,966,30;RS;Ensino Superior;Ensino Superior;PE (UF);10/04/2023
DANIEL ALMEIDA;2023;20237180;Individual;R$ 961,291,17;PR;Vigilância Epidemiológica;Educação Infantil;PE (UF);27/10/2023
JULIO CESAR RIBEIRO;2023;20238823;Comissão;R$ 3,211,445,59;PR;Ensino Fundamental;Saneamento Básico;PE (UF);21/05/2023
HERCÍLIO DINIZ;2023;20236647;Bancada;R$ 2,493,489,69;GO;Segurança Pública;Atenção Básica à Saúde;RJ (UF);05/12/2023
DEPUTADO ALENCAR SANTANA;2023;20234337;Individual;R$ 3,207,318,47;DF;Educação Infantil;Infraestrutura Urbana;MG (UF);16/08/2023
GUILHERME MUSSI;2023;20234188;Comissão;R$ 1,519,417,30;PR;Segurança Pública;Vigilância Epidemiológica;BA (UF);20/07/2023
HERCÍLIO DINIZ;2023;20232552;Individual;R$ 4,144,003,78;PR;Vigilância Epidemiológica;Vigilância Epidemiológica;PR (UF);23/09/2023
EDUARDO BARBOSA FILHO;2023;20232805;Individual;R$ 3,056,741,30;BA;Ensino Fundamental;Segurança Pública;SC (UF);12/05/2023
GUILHERME MUSSI FILHO;2023;20234512;Individual;R$ 3,727,996,09;GO;Ensino Fundamental;Vigilância Epidemiológica;RJ (UF);26/12/2023
EDUARDO BARBOSA;2023;20233434;Comissão;R$ 3,237,242,27;BA;Segurança Pública;Ensino Fundamental;PE (UF);10/10/2023
ELICORRÊA;2023;20238747;Bancada;R$ 3,008,287,45;GO;Assistência Hospitalar e Ambulatorial;Infraestrutura Urbana;SP (UF);12/12/2023
ELICORRÊA;2023;20234833;Comissão;R$ 21,686,53;GO;Saneamento Básico;Vigilância Epidemiológica;MG (UF);21/08/2023
DANIEL ALMEIDA;2023;20238741;Individual;R$ 4,720,294,46;RS;Segurança Pública;Atenção Básica à Saúde;SP (UF);14/09/2023
DANIEL ALMEIDA;2023;20235455;Bancada;R$ 2,643,771,70;GO;Atenção Básica à Saúde;Ensino Fundamental;SC (UF);24/07/2023
ELICORRÊA;2023;20232316;Bancada;R$ 1,639,043,69;SC;Assistência Hospitalar e Ambulatorial;Ensino Fundamental;PE (UF);10/11/2023
DEPUTADO CARLOS ZARATTINI;2023;20235126;Individual;R$ 2,095,311,41;SP;Ensino Superior;Educação Infantil;SC (UF);12/02/2023
FELIPE BORNIER;2023;20236816;Individual;R$ 828,946,19;SC;Educação Infantil;Atenção Básica à Saúde;DF (UF);11/09/2023
FELIPE BORNIER;2023;20234146;Bancada;R$ 3,003,852,48;DF;Ensino Fundamental;Ensino Fundamental;PR (UF);01/02/2023
JULIO CESAR RIBEIRO;2023;20233539;Bancada;R$ 749,921,21;PE;Assistência Hospitalar e Ambulatorial;Ensino Fundamental;PR (UF);06/06/2023
DEPUTADO GUILHERME MUSSI;2023;20239577;Bancada;R$ 2,190,683,42;RJ;Assistência Hospitalar e Ambulatorial;Ensino Fundamental;MG (UF);09/02/2023
HERCÍLIO DINIZ;2023;20237748;Individual;R$ 1,927,229,40;BA;Ensino Superior;Ensino Médio;GO (UF);03/05/2023
HERCÍLIO DINIZ;2023;20235242;Individual;R$ 2,082,600,72;DF;Assistência Hospitalar e Ambulatorial;Infraestrutura Urbana;GO (UF);17/06/2023
ELICORRÊA;2023;20239462;Comissão;R$ 2,385,060,47;GO;Educação Infantil;Saneamento Básico;DF (UF);28/05/2023
JULIO CESAR RIBEIRO FILHO;2023;20232651;Individual;R$ 106,606,58;PE;Ensino Fundamental;Atenção Básica à Saúde;BA (UF);04/05/2023
BACELAR;2023;20236693;Bancada;R$ 1,362,982,96;BA;Ensino Fundamental;Segurança Pública;PR (UF);02/12/2023
JULIO CESAR RIBEIRO;2023;20232725;Comissão;R$ 1,688,684,63;PR;Atenção Básica à Saúde;Ensino Superior;PE (UF);10/01/2023
BACELAR;2023;20235650;Comissão;R$ 843,590,02;PE;Vigilância Epidemiológica;Segurança Pública;GO (UF);22/10/2023
JULIO CESAR RIBEIRO;2023;20231604;Individual;R$ 4,459,153,18;MG;Vigilância Epidemiológica;Segurança Pública;DF (UF);20/07/2023
DANIEL ALMEIDA;2023;20238908;Comissão;R$ 2,593,505,33;DF;Vigilância Epidemiológica;Ensino Médio;BA (UF);01/02/2023
HERCÍLIO DINIZ;2023;20233099;Bancada;R$ 2,481,247,87;PE;Educação Infantil;Educação Infantil;RJ (UF);20/12/2023
ELICORRÊA FILHO;2023;20235619;Individual;R$ 518,670,08;RJ;Segurança Pública;Ensino Superior;GO (UF);26/11/2023
CARLOS ZARATTINI;2023;20239080;Individual;R$ 2,943,142,38;RJ;Segurança Pública;Ensino Superior;GO (UF);01/04/2023
ELICORRÊA;2023;20239164;Bancada;R$ 4,374,732,73;MG;Vigilância Epidemiológica;Educação Infantil;RJ (UF);24/11/2023
DEPUTADO JULIO CESAR RIBEIRO;2023;20236337;Comissão;R$ 4,881,439,06;GO;Segurança Pública;Saneamento Básico;SP (UF);01/10/2023
HERCÍLIO DINIZ;2023;20233078;Bancada;R$ 1,464,454,35;RJ;Ensino Superior;Infraestrutura Urbana;PE (UF);11/05/2023
EDUARDO BARBOSA;2023;20233205;Comissão;R$ 3,390,954,47;BA;Ensino Fundamental;Assistência Hospitalar e Ambulatorial;BA (UF);25/11/2023
CARLOS ZARATTINI;2023;20232329;Individual;R$ 506,765,68;MG;Ensino Superior;Assistência Hospitalar e Ambulatorial;SP (UF);21/06/2023
BACELAR FILHO;2023;20239700;Individual;R$ 4,175,389,99;MG;Assistência Hospitalar e Ambulatorial;Educação Infantil;BA (UF);25/04/2023
HERCÍLIO DINIZ;2023;20232571;Bancada;R$ 71,666,04;RS;Vigilância Epidemiológica;Ensino Médio;SP (UF);13/09/2023
ELICORRÊA;2023;20238488;Bancada;R$ 1,771,285,78;SP;Atenção Básica à Saúde;Ensino Fundamental;MG (UF);15/09/2023
ALENCAR SANTANA FILHO;2023;20232549;Individual;R$ 3,691,639,42;DF;Ensino Médio;Assistência Hospitalar e Ambulatorial;DF (UF);14/02/2023
DEPUTADO CARLOS ZARATTINI;2023;20236159;Bancada;R$ 3,515,660,40;PE;Assistência Hospitalar e Ambulatorial;Ensino Superior;BA (UF);23/01/2023
DEPUTADO ALENCAR SANTANA;2023;20235704;Bancada;R$ 1,434,491,93;RJ;Atenção Básica à Saúde;Ensino Fundamental;DF (UF);25/07/2023
ELICORRÊA;2023;20236957;Individual;R$ 1,204,345,41;BA;Assistência Hospitalar e Ambulatorial;Infraestrutura Urbana;BA (UF);19/07/2023
DEPUTADO CARLOS ZARATTINI;2023;20235953;Comissão;R$ 1,572,941,54;DF;Ensino Médio;Assistência Hospitalar e Ambulatorial;PR (UF);19/08/2023
FELIPE BORNIER;2023;20234999;Bancada;R$ 2,420,138,36;PE;Ensino Superior;Infraestrutura Urbana;BA (UF);12/06/2023
JULIO CESAR RIBEIRO;2023;20235924;Bancada;R$ 3,356,701,26;RS;Assistência Hospitalar e Ambulatorial;Assistência Hospitalar e Ambulatorial;MG (UF);18/01/2023
ALENCAR SANTANA;2023;20235111;Comissão;R$ 3,083,465,11;DF;Ensino Superior;Infraestrutura Urbana;BA (UF);03/04/2023
FELIPE BORNIER FILHO;2023;20234726;Individual;R$ 4,005,705,42;BA;Ensino Superior;Ensino Superior;GO (UF);14/01/2023
ALENCAR SANTANA;2023;20238493;Individual;R$ 1,476,029,76;GO;Ensino Superior;Infraestrutura Urbana;RJ (UF);04/05/2023
DANIEL ALMEIDA;2023;20231960;Bancada;R$ 1,226,672,51;GO;Assistência Hospitalar e Ambulatorial;Assistência Hospitalar e Ambulatorial;SP (UF);07/07/2023
CARLOS ZARATTINI FILHO;2023;20232132;Comissão;R$ 4,067,302,38;GO;Segurança Pública;Atenção Básica à Saúde;RJ (UF);24/11/2023
CARLOS ZARATTINI;2023;20239656;Bancada;R$ 966,993,41;BA;Vigilância Epidemiológica;Infraestrutura Urbana;GO (UF);21/06/2023
HERCÍLIO DINIZ;2023;20239929;Individual;R$ 2,083,565,54;PE;Ensino Superior;Atenção Básica à Saúde;PE (UF);24/08/2023
DANIEL ALMEIDA;2023;20234856;Individual;R$ 1,922,387,47;GO;Assistência Hospitalar e Ambulatorial;Vigilância Epidemiológica;RJ (UF);20/01/2023
JULIO CESAR RIBEIRO;2023;20232992;Comissão;R$ 4,688,701,16;RS;Saneamento Básico;Ensino Fundamental;RJ (UF);10/08/2023
ELICORRÊA;2023;20232589;Individual;R$ 722,901,99;MG;Saneamento Básico;Infraestrutura Urbana;GO (UF);13/07/2023
ALENCAR SANTANA;2023;20233529;Comissão;R$ 1,894,651,65;BA;Ensino Superior;Ensino Fundamental;BA (UF);01/03/2023
CARLOS ZARATTINI;2023;20232502;Individual;R$ 1,349,729,68;BA;Ensino Médio;Segurança Pública;RJ (UF);15/09/2023
ELICORRÊA;2023;20236481;Individual;R$ 1,917,732,17;PE;Infraestrutura Urbana;Ensino Superior;PR (UF);11/12/2023
BACELAR;2023;20236953;Comissão;R$ 4,235,827,71;DF;Atenção Básica à Saúde;Assistência Hospitalar e Ambulatorial;GO (UF);11/07/2023
HERCÍLIO DINIZ;2023;20231795;Comissão;R$ 4,930,154,13;RS;Atenção Básica à Saúde;Ensino Fundamental;DF (UF);28/05/2023
DEPUTADO GUILHERME MUSSI;2023;20233690;Comissão;R$ 4,932,841,33;SP;Segurança Pública;Atenção Básica à Saúde;RJ (UF);28/02/2023
DANIEL ALMEIDA;2023;20235162;Bancada;R$ 704,645,39;RS;Atenção Básica à Saúde;Vigilância Epidemiológica;SP (UF);05/07/2023
JULIO CESAR RIBEIRO;2023;20234570;Individual;R$ 2,711,158,64;SP;Vigilância Epidemiológica;Ensino Fundamental;MG (UF);19/04/2023
EDUARDO BARBOSA FILHO;2023;20239882;Individual;R$ 1,090,289,20;SC;Vigilância Epidemiológica;Ensino Superior;RS (UF);25/11/2023
DANIEL ALMEIDA;2023;20238453;Comissão;R$ 2,832,910,44;GO;Atenção Básica à Saúde;Atenção Básica à Saúde;SC (UF);24/09/2023
JULIO CESAR RIBEIRO;2023;20231080;Comissão;R$ 2,430,418,11;RJ;Segurança Pública;Ensino Fundamental;MG (UF);03/10/2023
DEPUTADO ALENCAR SANTANA;2023;20235768;Comissão;R$ 3,483,013,38;SP;Saneamento Básico;Ensino Superior;GO (UF);09/06/2023
FELIPE BORNIER FILHO;2023;20237670;Bancada;R$ 4,948,682,99;MG;Saneamento Básico;Infraestrutura Urbana;DF (UF);20/04/2023
DEPUTADO HERCÍLIO DINIZ;2023;20239313;Comissão;R$ 2,628,980,21;MG;Assistência Hospitalar e Ambulatorial;Vigilância Epidemiológica;DF (UF);09/07/2023
ALENCAR SANTANA;2023;20239383;Individual;R$ 3,227,864,79;RS;Educação Infantil;Assistência Hospitalar e Ambulatorial;DF (UF);28/12/2023
JULIO CESAR RIBEIRO FILHO;2023;20236479;Bancada;R$ 2,658,086,51;MG;Atenção Básica à Saúde;Educação Infantil;GO (UF);13/09/2023
EDUARDO BARBOSA;2023;20237348;Individual;R$ 2,470,616,53;PE;Segurança Pública;Saneamento Básico;DF (UF);09/09/2023
HERCÍLIO DINIZ;2023;20231911;Individual;R$ 4,916,232,10;GO;Ensino Fundamental;Vigilância Epidemiológica;RS (UF);02/04/2023
BACELAR;2023;20239952;Bancada;R$ 3,077,122,03;PE;Assistência Hospitalar e Ambulatorial;Segurança Pública;PE (UF);05/12/2023
FELIPE BORNIER;2023;20238510;Comissão;R$ 2,367,832,67;MG;Vigilância Epidemiológica;Ensino Fundamental;GO (UF);28/03/2023
CARLOS ZARATTINI;2023;20233391;Bancada;R$ 493,183,46;SC;Assistência Hospitalar e Ambulatorial;Infraestrutura Urbana;BA (UF);04/05/2023
DEPUTADO CARLOS ZARATTINI;2023;20237592;Comissão;R$ 247,078,27;SC;Infraestrutura Urbana;Segurança Pública;DF (UF);24/08/2023
DANIEL ALMEIDA;2023;20234805;Comissão;R$ 756,439,05;RJ;Saneamento Básico;Educação Infantil;PE (UF);22/09/2023
JULIO CESAR RIBEIRO FILHO;2023;20232990;Bancada;R$ 2,582,855,50;PR;Assistência Hospitalar e Ambulatorial;Segurança Pública;MG (UF);25/10/2023
ALENCAR SANTANA;2023;20232510;Bancada;R$ 4,628,578,98;RJ;Ensino Médio;Atenção Básica à Saúde;SC (UF);18/03/2023
JULIO CESAR RIBEIRO;2023;20239534;Individual;R$ 1,693,577,43;SP;Saneamento Básico;Ensino Fundamental;SC (UF);28/08/2023
DEPUTADO EDUARDO BARBOSA;2023;20233783;Bancada;R$ 3,498,691,23;SP;Vigilância Epidemiológica;Segurança Pública;DF (UF);15/02/2023
DEPUTADO HERCÍLIO DINIZ;2023;20231270;Bancada;R$ 2,543,603,92;RS;Vigilância Epidemiológica;Ensino Superior;BA (UF);08/06/2023
JULIO CESAR RIBEIRO FILHO;2023;20232424;Comissão;R$ 433,391,30;GO;Vigilância Epidemiológica;Ensino Fundamental;SP (UF);06/05/2023
CARLOS ZARATTINI;2023;20232872;Bancada;R$ 3,279,002,35;DF;Ensino Médio;Saneamento Básico;PE (UF);10/04/2023
DANIEL ALMEIDA;2023;20236861;Comissão;R$ 4,090,127,25;MG;Saneamento Básico;Infraestrutura Urbana;PR (UF);27/07/2023
ALENCAR SANTANA;2023;20239287;Individual;R$ 2,189,577,21;RS;Atenção Básica à Saúde;Ensino Médio;PE (UF);07/12/2023
EDUARDO BARBOSA FILHO;2023;20232919;Bancada;R$ 1,294,556,19;PR;Infraestrutura Urbana;Educação Infantil;MG (UF);07/03/2023
BACELAR;2023;20235786;Individual;R$ 2,977,299,84;GO;Ensino Fundamental;Saneamento Básico;SC (UF);01/03/2023
GUILHERME MUSSI;2023;20237757;Comissão;R$ 3,400,671,02;PR;Infraestrutura Urbana;Vigilância Epidemiológica;GO (UF);22/10/2023
DEPUTADO JULIO CESAR RIBEIRO;2023;20231568;Bancada;R$ 1,480,600,55;RS;Educação Infantil;Educação Infantil;RS (UF);10/04/2023
ALENCAR SANTANA;2023;20237026;Comissão;R$ 4,274,446,08;BA;Assistência Hospitalar e Ambulatorial;Ensino Médio;RJ (UF);15/12/2023
CARLOS ZARATTINI;2023;20232413;Bancada;R$ 4,177,292,09;PE;Vigilância Epidemiológica;Atenção Básica à Saúde;SP (UF);26/10/2023
ELICORRÊA;2023;20235345;Comissão;R$ 503,058,22;SP;Segurança Pública;Ensino Fundamental;RJ (UF);19/01/2023
BACELAR;2023;20239467;Bancada;R$ 387,875,98;MG;Vigilância Epidemiológica;Educação Infantil;RJ (UF);26/11/2023
JULIO CESAR RIBEIRO;2023;20234250;Comissão;R$ 2,610,524,25;PE;Atenção Básica à Saúde;Ensino Médio;GO (UF);04/04/2023
ALENCAR SANTANA;2023;20234147;Individual;R$ 4,228,478,38;GO;Segurança Pública;Saneamento Básico;SP (UF);26/07/2023
FELIPE BORNIER;2023;20235738;Individual;R$ 4,032,158,14;GO;Educação Infantil;Saneamento Básico;RS (UF);26/08/2023
BACELAR;2023;20237631;Comissão;R$ 800,082,29;PE;Atenção Básica à Saúde;Saneamento Básico;SP (UF);22/01/2023
GUILHERME MUSSI;2023;20238432;Bancada;R$ 4,022,381,61;DF;Ensino Fundamental;Segurança Pública;PE (UF);08/11/2023
DEPUTADO JULIO CESAR RIBEIRO;2023;20233117;Comissão;R$ 2,449,707,04;SP;Ensino Superior;Saneamento Básico;GO (UF);06/05/2023
HERCÍLIO DINIZ;2023;20231455;Comissão;R$ 2,827,913,64;MG;Ensino Superior;Segurança Pública;RS (UF);16/10/2023
EDUARDO BARBOSA;2023;20233848;Bancada;R$ 4,708,528,08;PR;Ensino Superior;Assistência Hospitalar e Ambulatorial;DF (UF);16/04/2023
EDUARDO BARBOSA;2023;20238121;Bancada;R$ 3,029,451,27;SC;Ensino Médio;Segurança Pública;MG (UF);17/02/2023
EDUARDO BARBOSA;2023;20238021;Comissão;R$ 1,072,194,52;PR;Atenção Básica à Saúde;Vigilância Epidemiológica;BA (UF);04/04/2023
EDUARDO BARBOSA;2023;20231915;Bancada;R$ 4,730,123,10;SP;Segurança Pública;Educação Infantil;PR (UF);08/04/2023
DEPUTADO ELICORRÊA;2023;20231574;Bancada;R$ 3,993,563,72;SP;Segurança Pública;Assistência Hospitalar e Ambulatorial;RS (UF);09/03/2023
DEPUTADO ELICORRÊA;2023;20237756;Bancada;R$ 4,641,488,25;MG;Atenção Básica à Saúde;Saneamento Básico;GO (UF);28/05/2023
JULIO CESAR RIBEIRO;2023;20234371;Individual;R$ 4,585,550,99;PE;Ensino Superior;Infraestrutura Urbana;PE (UF);11/09/2023
GUILHERME MUSSI;2023;20236043;Individual;R$ 4,688,312,82;SP;Ensino Fundamental;Assistência Hospitalar e Ambulatorial;PR (UF);08/05/2023
EDUARDO BARBOSA;2023;20236744;Bancada;R$ 4,585,424,55;RJ;Ensino Superior;Infraestrutura Urbana;BA (UF);01/07/2023
DEPUTADO EDUARDO BARBOSA;2023;20238867;Bancada;R$ 3,719,677,48;PE;Vigilância Epidemiológica;Ensino Fundamental;DF (UF);23/10/2023
BACELAR;2023;20231063;Individual;R$ 4,807,263,68;MG;Assistência Hospitalar e Ambulatorial;Segurança Pública;PE (UF);23/02/2023
HERCÍLIO DINIZ;2023;20236948;Individual;R$ 1,689,280,84;DF;Ensino Médio;Ensino Médio;BA (UF);23/10/2023
DEPUTADO GUILHERME MUSSI;2023;20235342;Bancada;R$ 1,574,570,50;PE;Assistência Hospitalar e Ambulatorial;Atenção Básica à Saúde;RS (UF);10/06/2023
ELICORRÊA;2023;20232812;Individual;R$ 2,591,132,79;DF;Segurança Pública;Segurança Pública;GO (UF);24/12/2023
CARLOS ZARATTINI;2023;20238188;Comissão;R$ 4,922,580,42;BA;Ensino Superior;Atenção Básica à Saúde;GO (UF);28/01/2023
JULIO CESAR RIBEIRO;2023;20237006;Bancada;R$ 906,672,56;PR;Educação Infantil;Vigilância Epidemiológica;RS (UF);09/10/2023
GUILHERME MUSSI;2023;20237303;Individual;R$ 4,174,869,70;RS;Vigilância Epidemiológica;Assistência Hospitalar e Ambulatorial;GO (UF);06/10/2023
DEPUTADO FELIPE BORNIER;2023;20235904;Comissão;R$ 4,099,079,55;PR;Ensino Médio;Ensino Médio;GO (UF);13/01/2023
HERCÍLIO DINIZ FILHO;2023;20239038;Individual;R$ 2,564,691,51;RS;Segurança Pública;Educação Infantil;PE (UF);06/11/2023
EDUARDO BARBOSA;2023;20234865;Comissão;R$ 71,713,29;MG;Ensino Fundamental;Ensino Médio;RJ (UF);19/08/2023
GUILHERME MUSSI;2023;20233141;Comissão;R$ 108,388,34;MG;Atenção Básica à Saúde;Assistência Hospitalar e Ambulatorial;MG (UF);11/08/2023
HERCÍLIO DINIZ;2023;20238395;Bancada;R$ 2,195,909,28;PR;Segurança Pública;Segurança Pública;SC (UF);21/02/2023
BACELAR;2023;20234940;Individual;R$ 4,224,667,02;GO;Assistência Hospitalar e Ambulatorial;Educação Infantil;PR (UF);24/04/2023
GUILHERME MUSSI;2023;20234956;Individual;R$ 4,030,999,09;RS;Ensino Superior;Saneamento Básico;SP (UF);10/11/2023
BACELAR;2023;20236428;Bancada;R$ 3,094,074,36;SC;Vigilância Epidemiológica;Educação Infantil;MG (UF);11/03/2023
