Autor;Ano;Número Emenda;Tipo Emenda;Valor Empenhado;UF;Função;Subfunção;Localidade do Gasto;Data do Empenho
FELIPE BORNIER;2024;20246970;Comissão;R$ 2,878,194,71;RS;Ensino Superior;Educação Infantil;SP (UF);03/01/2024
EDUARDO BARBOSA FILHO;2024;20249547;Individual;R$ 126,976,48;RJ;Segurança Pública;Segurança Pública;RJ (UF);04/11/2024
DANIEL ALMEIDA FILHO;2024;20246508;Bancada;R$ 4,467,339,31;GO;Assistência Hospitalar e Ambulatorial;Atenção Básica à Saúde;RJ (UF);15/10/2024
HERCÍLIO DINIZ;2024;20245685;Comissão;R$ 2,329,430,37;DF;Ensino Superior;Educação Infantil;PE (UF);28/05/2024
GUILHERME MUSSI;2024;20249736;Bancada;R$ 2,217,141,43;GO;Ensino Superior;Vigilância Epidemiológica;SC (UF);27/11/2024
CARLOS ZARATTINI;2024;20244530;Comissão;R$ 2,671,823,65;SP;Infraestrutura Urbana;Infraestrutura Urbana;BA (UF);10/08/2024
JULIO CESAR RIBEIRO FILHO;2024;20247204;Bancada;R$ 2,257,578,15;PE;Ensino Superior;Infraestrutura Urbana;SC (UF);26/01/2024
FELIPE BORNIER;2024;20246069;Individual;R$ 3,745,111,69;PE;Educação Infantil;Ensino Médio;MG (UF);14/05/2024
GUILHERME MUSSI;2024;20247103;Bancada;R$ 4,280,505,70;RS;Ensino Superior;Infraestrutura Urbana;DF (UF);12/04/2024
ALENCAR SANTANA;2024;20244679;Individual;R$ 4,175,551,97;PR;Ensino Médio;Segurança Pública;PR (UF);02/01/2024
ELICORRÊA;2024;20248393;Individual;R$ 4,254,035,53;SP;Ensino Fundamental;Ensino Fundamental;GO (UF);26/07/2024
BACELAR;2024;20247330;Bancada;R$ 176,389,81;PE;Educação Infantil;Ensino Médio;RJ (UF);01/04/2024
DEPUTADO CARLOS ZARATTINI;2024;20241680;Comissão;R$ 4,913,066,81;SC;Saneamento Básico;Saneamento Básico;RS (UF);21/07/2024
BACELAR;2024;20241336;Bancada;R$ 3,392,227,31;RS;Educação Infantil;Assistência Hospitalar e Ambulatorial;SC (UF);24/12/2024
DEPUTADO JULIO CESAR RIBEIRO;2024;20244914;Bancada;R$ 3,318,521,78;GO;Ensino Fundamental;Educação Infantil;SC (UF);04/04/2024
DANIEL ALMEIDA;2024;20247869;Comissão;R$ 3,304,713,06;GO;Segurança Pública;Ensino Médio;SC (UF);23/09/2024
CARLOS ZARATTINI;2024;20244260;Individual;R$ 222,812,95;DF;Saneamento Básico;Saneamento Básico;SC (UF);13/03/2024
ELICORRÊA;2024;20249782;Comissão;R$ 3,800,787,67;RS;Vigilância Epidemiológica;Vigilância Epidemiológica;RJ (UF);13/05/2024
GUILHERME MUSSI;2024;20241426;Bancada;R$ 2,273,376,78;SC;Infraestrutura Urbana;Assistência Hospitalar e Ambulatorial;RJ (UF);17/06/2024
JULIO CESAR RIBEIRO;2024;20244457;Bancada;R$ 3,203,069,46;SP;Infraestrutura Urbana;Assistência Hospitalar e Ambulatorial;SC (UF);16/05/2024
EDUARDO BARBOSA;2024;20248305;Bancada;R$ 3,619,968,28;GO;Vigilância Epidemiológica;Ensino Fundamental;PE (UF);17/09/2024
HERCÍLIO DINIZ FILHO;2024;20244120;Comissão;R$ 4,004,947,16;SP;Ensino Médio;Saneamento Básico;PE (UF);07/12/2024
CARLOS ZARATTINI;2024;20249493;Individual;R$ 619,693,79;RS;Ensino Superior;Infraestrutura Urbana;SP (UF);26/08/2024
GUILHERME MUSSI FILHO;2024;20246808;Bancada;R$ 1,039,688,87;DF;Ensino Superior;Ensino Médio;PR (UF);09/03/2024
HERCÍLIO DINIZ;2024;20245773;Bancada;R$ 2,704,784,58;DF;Segurança Pública;Ensino Médio;PR (UF);10/11/2024
DEPUTADO DANIEL ALMEIDA;2024;20246102;Individual;R$ 431,117,52;PR;Infraestrutura Urbana;Ensino Médio;RJ (UF);13/08/2024
DEPUTADO GUILHERME MUSSI;2024;20248736;Individual;R$ 1,547,251,81;GO;Vigilância Epidemiológica;Educação Infantil;RJ (UF);08/01/2024
DANIEL ALMEIDA FILHO;2024;20245561;Individual;R$ 4,581,156,69;PR;Assistência Hospitalar e Ambulatorial;Educação Infantil;PR (UF);22/09/2024
ELICORRÊA;2024;20244258;Individual;R$ 4,788,166,78;RS;Atenção Básica à Saúde;Segurança Pública;DF (UF);15/07/2024
DEPUTADO JULIO CESAR RIBEIRO;2024;20245440;Bancada;R$ 3,436,825,75;PE;Educação Infantil;Atenção Básica à Saúde;PE (UF);20/04/2024
DEPUTADO BACELAR;2024;20246662;Individual;R$ 2,606,127,15;DF;Educação Infantil;Assistência Hospitalar e Ambulatorial;DF (UF);27/04/2024
EDUARDO BARBOSA;2024;20242565;Comissão;R$ 1,887,218,81;MG;Vigilância Epidemiológica;Assistência Hospitalar e Ambulatorial;SC (UF);20/08/2024
EDUARDO BARBOSA;2024;20246161;Individual;R$ 449,736,13;SC;Educação Infantil;Atenção Básica à Saúde;BA (UF);24/10/2024
JULIO CESAR RIBEIRO;2024;20241995;Bancada;R$ 4,191,724,87;SP;Segurança Pública;Ensino Médio;BA (UF);08/09/2024
DEPUTADO GUILHERME MUSSI;2024;20242041;Individual;R$ 3,438,813,73;BA;Vigilância Epidemiológica;Infraestrutura Urbana;MG (UF);08/01/2024
CARLOS ZARATTINI FILHO;2024;20248577;Comissão;R$ 967,176,80;GO;Segurança Pública;Saneamento Básico;SC (UF);14/04/2024
DEPUTADO FELIPE BORNIER;2024;20245639;Bancada;R$ 2,738,364,03;SC;Ensino Médio;Vigilância Epidemiológica;SC (UF);13/03/2024
ELICORRÊA;2024;20241874;Comissão;R$ 1,149,341,58;RJ;Ensino Superior;Vigilância Epidemiológica;SP (UF);17/11/2024
DANIEL ALMEIDA FILHO;2024;20245127;Comissão;R$ 2,345,919,09;SC;Ensino Superior;Ensino Fundamental;SC (UF);24/07/2024
ALENCAR SANTANA;2024;20242918;Comissão;R$ 3,011,996,29;BA;Segurança Pública;Educação Infantil;SP (UF);22/11/2024
FELIPE BORNIER;2024;20242490;Individual;R$ 1,756,774,69;DF;Vigilância Epidemiológica;Vigilância Epidemiológica;DF (UF);20/09/2024
BACELAR FILHO;2024;20247774;Individual;R$ 3,868,532,74;RS;Educação Infantil;Ensino Médio;PE (UF);21/06/2024
ELICORRÊA;2024;20247860;Comissão;R$ 2,480,040,25;DF;Vigilância Epidemiológica;Ensino Fundamental;RS (UF);01/08/2024
FELIPE BORNIER FILHO;2024;20243026;Comissão;R$ 4,872,806,96;MG;Vigilância Epidemiológica;Infraestrutura Urbana;MG (UF);27/10/2024
EDUARDO BARBOSA;2024;20249306;Individual;R$ 312,812,50;MG;Atenção Básica à Saúde;Assistência Hospitalar e Ambulatorial;RJ (UF);01/11/2024
DANIEL ALMEIDA;2024;20241401;Bancada;R$ 4,697,145,99;MG;Atenção Básica à Saúde;Assistência Hospitalar e Ambulatorial;SC (UF);09/08/2024
ELICORRÊA;2024;20241982;Comissão;R$ 4,552,412,73;PE;Atenção Básica à Saúde;Ensino Médio;RJ (UF);16/07/2024
EDUARDO BARBOSA;2024;20248665;Individual;R$ 486,180,12;SP;Ensino Fundamental;Ensino Médio;RS (UF);17/06/2024
FELIPE BORNIER FILHO;2024;20245671;Individual;R$ 373,104,36;MG;Infraestrutura Urbana;Ensino Fundamental;MG (UF);20/04/2024
HERCÍLIO DINIZ;2024;20247653;Bancada;R$ 4,110,089,56;PR;Atenção Básica à Saúde;Educação Infantil;SP (UF);25/06/2024
ELICORRÊA;2024;20243557;Bancada;R$ 2,978,590,93;MG;Ensino Médio;Assistência Hospitalar e Ambulatorial;PR (UF);03/06/2024
ALENCAR SANTANA;2024;20243948;Comissão;R$ 1,776,841,79;BA;Infraestrutura Urbana;Vigilância Epidemiológica;PE (UF);02/10/2024
EDUARDO BARBOSA;2024;20248308;Comissão;R$ 214,440,80;DF;Infraestrutura Urbana;Ensino Médio;SP (UF);04/11/2024
FELIPE BORNIER FILHO;2024;20247069;Bancada;R$ 709,668,78;MG;Ensino Superior;Educação Infantil;BA (UF);07/10/2024
CARLOS ZARATTINI FILHO;2024;20246430;Bancada;R$ 1,425,546,86;SP;Infraestrutura Urbana;Ensino Médio;SP (UF);02/08/2024
DEPUTADO JULIO CESAR RIBEIRO;2024;20248793;Individual;R$ 4,075,659,18;RS;Educação Infantil;Ensino Fundamental;PR (UF);18/10/2024
DANIEL ALMEIDA;2024;20241309;Comissão;R$ 3,830,961,83;RJ;Segurança Pública;Saneamento Básico;RJ (UF);10/01/2024
DANIEL ALMEIDA;2024;20242230;Comissão;R$ 4,385,437,38;DF;Assistência Hospitalar e Ambulatorial;Segurança Pública;BA (UF);01/01/2024
HERCÍLIO DINIZ;2024;20249872;Comissão;R$ 3,639,574,74;PE;Segurança Pública;Segurança Pública;RJ (UF);18/05/2024
DANIEL ALMEIDA;2024;20247593;Individual;R$ 3,805,785,84;SC;Saneamento Básico;Ensino Médio;DF (UF);04/12/2024
DEPUTADO CARLOS ZARATTINI;2024;20247004;Bancada;R$ 2,493,803,48;PE;Atenção Básica à Saúde;Ensino Médio;PR (UF);11/10/2024
BACELAR;2024;20246463;Bancada;R$ 1,783,147,20;PR;Vigilância Epidemiológica;Assistência Hospitalar e Ambulatorial;MG (UF);27/03/2024
HERCÍLIO DINIZ;2024;20247801;Bancada;R$ 4,492,326,40;PR;Ensino Médio;Assistência Hospitalar e Ambulatorial;PR (UF);18/05/2024
FELIPE BORNIER;2024;20241685;Comissão;R$ 1,963,733,46;PR;Ensino Médio;Educação Infantil;SP (UF);07/10/2024
ALENCAR SANTANA;2024;20245612;Comissão;R$ 3,806,940,13;PR;Assistência Hospitalar e Ambulatorial;Assistência Hospitalar e Ambulatorial;SP (UF);12/10/2024
DEPUTADO CARLOS ZARATTINI;2024;20242068;Comissão;R$ 385,242,84;SC;Atenção Básica à Saúde;Saneamento Básico;PR (UF);28/02/2024
DEPUTADO CARLOS ZARATTINI;2024;20248742;Bancada;R$ 2,237,475,54;MG;Ensino Médio;Vigilância Epidemiológica;BA (UF);25/06/2024
JULIO CESAR RIBEIRO;2024;20244904;Comissão;R$ 3,643,084,08;PR;Atenção Básica à Saúde;Infraestrutura Urbana;GO (UF);11/05/2024
BACELAR;2024;20246838;Comissão;R$ 2,801,097,46;RS;Saneamento Básico;Ensino Médio;RS (UF);21/08/2024
FELIPE BORNIER;2024;20248671;Comissão;R$ 779,993,60;RJ;Atenção Básica à Saúde;Assistência Hospitalar e Ambulatorial;PR (UF);05/12/2024
BACELAR;2024;20249004;Individual;R$ 3,137,958,69;RS;Assistência Hospitalar e Ambulatorial;Ensino Superior;RS (UF);01/07/2024
CARLOS ZARATTINI;2024;20242871;Comissão;R$ 1,657,331,38;GO;Ensino Fundamental;Ensino Médio;DF (UF);16/03/2024
HERCÍLIO DINIZ;2024;20243813;Bancada;R$ 3,236,251,34;RJ;Ensino Fundamental;Educação Infantil;RS (UF);08/08/2024
DEPUTADO GUILHERME MUSSI;2024;20246946;Individual;R$ 4,887,592,63;RS;Ensino Fundamental;Ensino Fundamental;PE (UF);15/12/2024
DANIEL ALMEIDA FILHO;2024;20244483;Comissão;R$ 3,961,918,59;PE;Atenção Básica à Saúde;Ensino Fundamental;SP (UF);21/11/2024
DEPUTADO ELICORRÊA;2024;20243022;Individual;R$ 4,420,370,76;GO;Ensino Fundamental;Ensino Fundamental;SP (UF);18/12/2024
CARLOS ZARATTINI;2024;20249831;Comissão;R$ 1,741,947,43;SP;Educação Infantil;Atenção Básica à Saúde;SC (UF);10/07/2024
GUILHERME MUSSI;2024;20247057;Comissão;R$ 2,410,114,10;GO;Ensino Fundamental;Saneamento Básico;PR (UF);14/05/2024
DANIEL ALMEIDA;2024;20247403;Bancada;R$ 4,726,974,65;GO;Saneamento Básico;Saneamento Básico;MG (UF);01/07/2024
JULIO CESAR RIBEIRO;2024;20243089;Comissão;R$ 4,318,564,50;BA;Ensino Fundamental;Segurança Pública;PR (UF);15/11/2024
DEPUTADO DANIEL ALMEIDA;2024;20249638;Bancada;R$ 782,885,34;RS;Vigilância Epidemiológica;Atenção Básica à Saúde;MG (UF);22/08/2024
JULIO CESAR RIBEIRO;2024;20242030;Comissão;R$ 1,384,250,19;BA;Educação Infantil;Atenção Básica à Saúde;SC (UF);21/03/2024
BACELAR FILHO;2024;20249625;Bancada;R$ 4,137,488,85;GO;Atenção Básica à Saúde;Atenção Básica à Saúde;SP (UF);05/06/2024
EDUARDO BARBOSA;2024;20241758;Comissão;R$ 2,496,053,09;PE;Vigilância Epidemiológica;Educação Infantil;MG (UF);28/09/2024
FELIPE BORNIER;2024;20244051;Bancada;R$ 1,483,489,68;BA;Ensino Médio;Vigilância Epidemiológica;MG (UF);19/01/2024
FELIPE BORNIER FILHO;2024;20241366;Comissão;R$ 2,979,866,87;SP;Saneamento Básico;Ensino Médio;RJ (UF);20/12/2024
JULIO CESAR RIBEIRO;2024;20249885;Bancada;R$ 364,901,20;MG;Ensino Médio;Atenção Básica à Saúde;SC (UF);10/09/2024
DANIEL ALMEIDA;2024;20243197;Individual;R$ 4,164,356,17;SP;Segurança Pública;Vigilância Epidemiológica;PR (UF);02/12/2024
DEPUTADO HERCÍLIO DINIZ;2024;20245962;Individual;R$ 455,344,29;PR;Ensino Médio;Segurança Pública;RJ (UF);28/09/2024
GUILHERME MUSSI;2024;20243947;Individual;R$ 199,155,92;MG;Educação Infantil;Assistência Hospitalar e Ambulatorial;DF (UF);09/11/2024
HERCÍLIO DINIZ;2024;20246739;Bancada;R$ 271,289,93;SP;Assistência Hospitalar e Ambulatorial;Atenção Básica à Saúde;PR (UF);26/06/2024
EDUARDO BARBOSA;2024;20248695;Individual;R$ 268,480,17;MG;Infraestrutura Urbana;Ensino Fundamental;MG (UF);01/01/2024
DEPUTADO GUILHERME MUSSI;2024;20249717;Comissão;R$ 1,548,407,23;SP;Atenção Básica à Saúde;Segurança Pública;RS (UF);01/04/2024
GUILHERME MUSSI;2024;20241288;Individual;R$ 3,413,534,48;RJ;Educação Infantil;Atenção Básica à Saúde;DF (UF);28/08/2024
BACELAR FILHO;2024;20243266;Comissão;R$ 2,972,193,19;RS;Saneamento Básico;Ensino Superior;PE (UF);24/06/2024
JULIO CESAR RIBEIRO;2024;20248600;Individual;R$ 4,171,851,49;BA;Atenção Básica à Saúde;Saneamento Básico;SP (UF);09/05/2024
ELICORRÊA FILHO;2024;20243556;Comissão;R$ 1,739,844,68;DF;Segurança Pública;Ensino Superior;PR (UF);11/08/2024
CARLOS ZARATTINI FILHO;2024;20244759;Individual;R$ 1,632,285,89;RS;Segurança Pública;Ensino Fundamental;BA (UF);16/12/2024
DANIEL ALMEIDA;2024;20246435;Individual;R$ 2,861,325,59;BA;Educação Infantil;Atenção Básica à Saúde;MG (UF);27/04/2024
CARLOS ZARATTINI FILHO;2024;20249359;Comissão;R$ 3,488,632,77;DF;Assistência Hospitalar e Ambulatorial;Segurança Pública;PR (UF);08/08/2024
CARLOS ZARATTINI;2024;20242937;Comissão;R$ 3,090,340,89;SP;Ensino Fundamental;Ensino Superior;RS (UF);11/11/2024
HERCÍLIO DINIZ;2024;20242722;Bancada;R$ 1,892,887,00;DF;Segurança Pública;Ensino Fundamental;MG (UF);04/03/2024
JULIO CESAR RIBEIRO FILHO;2024;20243407;Individual;R$ 2,879,991,67;RJ;Infraestrutura Urbana;Assistência Hospitalar e Ambulatorial;SP (UF);06/01/2024
DANIEL ALMEIDA;2024;20246336;Individual;R$ 702,699,07;PE;Infraestrutura Urbana;Assistência Hospitalar e Ambulatorial;GO (UF);07/05/2024
FELIPE BORNIER;2024;20244655;Comissão;R$ 441,322,18;PR;Vigilância Epidemiológica;Educação Infantil;SC (UF);18/04/2024
FELIPE BORNIER;2024;20248032;Individual;R$ 2,240,656,01;MG;Atenção Básica à Saúde;Atenção Básica à Saúde;SC (UF);02/06/2024
EDUARDO BARBOSA;2024;20242143;Comissão;R$ 4,691,523,32;PR;Saneamento Básico;Vigilância Epidemiológica;SC (UF);20/12/2024
EDUARDO BARBOSA;2024;20248792;Individual;R$ 4,249,255,59;PR;Vigilância Epidemiológica;Ensino Médio;PE (UF);10/01/2024
GUILHERME MUSSI FILHO;2024;20249401;Comissão;R$ 1,988,627,83;MG;Ensino Fundamental;Ensino Médio;PE (UF);26/01/2024
DANIEL ALMEIDA;2024;20242649;Comissão;R$ 883,463,98;BA;Ensino Fundamental;Ensino Superior;BA (UF);10/08/2024
ALENCAR SANTANA FILHO;2024;20242829;Comissão;R$ 90,563,13;RS;Ensino Superior;Ensino Médio;DF (UF);26/10/2024
JULIO CESAR RIBEIRO;2024;20248483;Bancada;R$ 1,306,337,64;RS;Educação Infantil;Infraestrutura Urbana;SC (UF);10/01/2024
FELIPE BORNIER;2024;20241348;Bancada;R$ 714,603,43;SC;Atenção Básica à Saúde;Ensino Fundamental;PR (UF);24/09/2024
EDUARDO BARBOSA FILHO;2024;20249137;Bancada;R$ 469,335,43;DF;Atenção Básica à Saúde;Assistência Hospitalar e Ambulatorial;MG (UF);07/09/2024
EDUARDO BARBOSA FILHO;2024;20242713;Bancada;R$ 2,354,364,20;DF;Assistência Hospitalar e Ambulatorial;Assistência Hospitalar e Ambulatorial;PE (UF);03/05/2024
GUILHERME MUSSI;2024;20242696;Bancada;R$ 857,098,03;RS;Segurança Pública;Saneamento Básico;GO (UF);09/02/2024
ALENCAR SANTANA;2024;20248447;Individual;R$ 1,048,717,00;MG;Ensino Superior;Segurança Pública;SP (UF);22/07/2024
EDUARDO BARBOSA;2024;20245996;Bancada;R$ 4,152,063,12;PE;Educação Infantil;Ensino Superior;BA (UF);13/11/2024
ELICORRÊA;2024;20247421;Individual;R$ 2,320,309,90;MG;Educação Infantil;Segurança Pública;BA (UF);13/02/2024
DEPUTADO GUILHERME MUSSI;2024;20248385;Comissão;R$ 76,526,50;DF;Infraestrutura Urbana;Ensino Fundamental;RS (UF);02/03/2024
FELIPE BORNIER;2024;20248434;Comissão;R$ 520,255,64;DF;Ensino Fundamental;Educação Infantil;DF (UF);28/02/2024
ALENCAR SANTANA;2024;20247601;Individual;R$ 4,076,439,62;MG;Assistência Hospitalar e Ambulatorial;Atenção Básica à Saúde;SC (UF);01/12/2024
GUILHERME MUSSI;2024;20242860;Comissão;R$ 1,914,051,05;GO;Assistência Hospitalar e Ambulatorial;Atenção Básica à Saúde;GO (UF);11/05/2024
EDUARDO BARBOSA FILHO;2024;20244215;Comissão;R$ 1,652,281,17;BA;Ensino Superior;Educação Infantil;PE (UF);11/03/2024
ALENCAR SANTANA;2024;20245401;Comissão;R$ 2,959,037,10;SC;Ensino Fundamental;Atenção Básica à Saúde;GO (UF);15/07/2024
DANIEL ALMEIDA;2024;20245347;Bancada;R$ 774,300,49;BA;Atenção Básica à Saúde;Vigilância Epidemiológica;PR (UF);28/12/2024
BACELAR;2024;20247141;Individual;R$ 3,942,816,21;SC;Atenção Básica à Saúde;Infraestrutura Urbana;RS (UF);25/01/2024
GUILHERME MUSSI FILHO;2024;20243449;Bancada;R$ 104,426,83;PE;Vigilância Epidemiológica;Ensino Fundamental;MG (UF);13/11/2024
FELIPE BORNIER;2024;20246896;Individual;R$ 3,804,835,19;DF;Assistência Hospitalar e Ambulatorial;Saneamento Básico;PR (UF);20/08/2024
DEPUTADO JULIO CESAR RIBEIRO;2024;20242803;Bancada;R$ 322,140,35;PE;Atenção Básica à Saúde;Vigilância Epidemiológica;MG (UF);07/09/2024
ALENCAR SANTANA FILHO;2024;20246266;Bancada;R$ 4,164,063,44;SP;Assistência Hospitalar e Ambulatorial;Saneamento Básico;GO (UF);21/11/2024
ALENCAR SANTANA;2024;20241814;Bancada;R$ 3,739,111,86;BA;Educação Infantil;Ensino Médio;SP (UF);19/03/2024
DEPUTADO ELICORRÊA;2024;20248945;Comissão;R$ 4,903,897,91;SC;Ensino Fundamental;Saneamento Básico;PE (UF);13/12/2024
JULIO CESAR RIBEIRO;2024;20247945;Comissão;R$ 3,322,074,28;SP;Segurança Pública;Ensino Superior;BA (UF);21/08/2024
CARLOS ZARATTINI;2024;20246589;Bancada;R$ 599,402,72;DF;Vigilância Epidemiológica;Assistência Hospitalar e Ambulatorial;GO (UF);17/09/2024
CARLOS ZARATTINI;2024;20242302;Individual;R$ 846,243,12;DF;Vigilância Epidemiológica;Saneamento Básico;RJ (UF);26/02/2024
EDUARDO BARBOSA;2024;20244236;Bancada;R$ 1,397,295,46;BA;Atenção Básica à Saúde;Ensino Superior;SP (UF);25/09/2024
ELICORRÊA;2024;20249134;Individual;R$ 468,628,15;MG;Ensino Superior;Assistência Hospitalar e Ambulatorial;MG (UF);25/09/2024
EDUARDO BARBOSA;2024;20249548;Bancada;R$ 186,303,07;GO;Vigilância Epidemiológica;Vigilância Epidemiológica;MG (UF);11/07/2024
DANIEL ALMEIDA;2024;20241645;Comissão;R$ 4,414,700,71;PE;Ensino Superior;Infraestrutura Urbana;PE (UF);23/10/2024
CARLOS ZARATTINI;2024;20243655;Individual;R$ 2,035,936,77;MG;Ensino Fundamental;Segurança Pública;SC (UF);14/12/2024
GUILHERME MUSSI;2024;20248995;Comissão;R$ 2,054,569,25;PE;Ensino Superior;Ensino Superior;PR (UF);18/01/2024
HERCÍLIO DINIZ;2024;20248389;Bancada;R$ 1,011,059,95;GO;Assistência Hospitalar e Ambulatorial;Assistência Hospitalar e Ambulatorial;DF (UF);27/10/2024
GUILHERME MUSSI;2024;20249847;Bancada;R$ 2,210,646,06;PR;Ensino Fundamental;Assistência Hospitalar e Ambulatorial;SC (UF);17/07/2024
HERCÍLIO DINIZ;2024;20249766;Comissão;R$ 1,704,718,04;MG;Ensino Superior;Segurança Pública;RJ (UF);04/04/2024
CARLOS ZARATTINI;2024;20248123;Comissão;R$ 4,994,215,57;SP;Vigilância Epidemiológica;Atenção Básica à Saúde;DF (UF);13/02/2024
EDUARDO BARBOSA;2024;20249962;Individual;R$ 803,806,46;SC;Ensino Fundamental;Educação Infantil;SC (UF);19/02/2024
DEPUTADO ELICORRÊA;2024;20247587;Bancada;R$ 4,956,031,24;GO;Vigilância Epidemiológica;Educação Infantil;GO (UF);17/03/2024
DEPUTADO DANIEL ALMEIDA;2024;20245976;Bancada;R$ 1,430,817,62;BA;Assistência Hospitalar e Ambulatorial;Ensino Fundamental;SC (UF);27/05/2024
FELIPE BORNIER;2024;20248519;Individual;R$ 1,475,935,30;PE;Ensino Superior;Saneamento Básico;RS (UF);22/09/2024
ELICORRÊA;2024;20246589;Bancada;R$ 2,938,423,55;DF;Atenção Básica à Saúde;Saneamento Básico;MG (UF);07/04/2024
GUILHERME MUSSI;2024;20249173;Bancada;R$ 4,486,657,76;MG;Assistência Hospitalar e Ambulatorial;Ensino Superior;SP (UF);17/11/2024
FELIPE BORNIER FILHO;2024;20249773;Individual;R$ 1,926,630,05;MG;Educação Infantil;Segurança Pública;RS (UF);13/08/2024
ALENCAR SANTANA;2024;20247631;Bancada;R$ 780,177,41;SP;Ensino Fundamental;Infraestrutura Urbana;BA (UF);01/04/2024
DEPUTADO DANIEL ALMEIDA;2024;20249448;Individual;R$ 2,012,804,60;BA;Assistência Hospitalar e Ambulatorial;Segurança Pública;SC (UF);26/07/2024
FELIPE BORNIER;2024;20243967;Bancada;R$ 2,963,831,71;BA;Ensino Fundamental;Saneamento Básico;PR (UF);06/12/2024
EDUARDO BARBOSA;2024;20241379;Bancada;R$ 4,992,598,34;PE;Saneamento Básico;Saneamento Básico;RJ (UF);22/10/2024
HERCÍLIO DINIZ;2024;20246778;Comissão;R$ 2,160,032,07;PE;Ensino Fundamental;Saneamento Básico;BA (UF);03/09/2024
DANIEL ALMEIDA;2024;20247753;Comissão;R$ 421,214,45;RJ;Assistência Hospitalar e Ambulatorial;Assistência Hospitalar e Ambulatorial;GO (UF);18/02/2024
JULIO CESAR RIBEIRO FILHO;2024;20248897;Individual;R$ 582,245,25;RS;Segurança Pública;Vigilância Epidemiológica;RS (UF);17/05/2024
ALENCAR SANTANA;2024;20241952;Comissão;R$ 4,434,231,09;PR;Ensino Superior;Segurança Pública;PE (UF);05/07/2024
JULIO CESAR RIBEIRO FILHO;2024;20243735;Comissão;R$ 357,370,58;PE;Segurança Pública;Saneamento Básico;RS (UF);04/04/2024
HERCÍLIO DINIZ;2024;20247942;Bancada;R$ 3,585,344,33;SP;Atenção Básica à Saúde;Educação Infantil;RJ (UF);01/06/2024
DEPUTADO CARLOS ZARATTINI;2024;20248778;Comissão;R$ 3,966,439,22;SP;Infraestrutura Urbana;Saneamento Básico;BA (UF);12/02/2024
DEPUTADO CARLOS ZARATTINI;2024;20249668;Bancada;R$ 4,562,965,77;SC;Saneamento Básico;Segurança Pública;SP (UF);04/05/2024
DEPUTADO FELIPE BORNIER;2024;20245080;Bancada;R$ 4,123,347,46;PR;Segurança Pública;Atenção Básica à Saúde;PR (UF);03/12/2024
GUILHERME MUSSI;2024;20248094;Comissão;R$ 708,364,67;RS;Assistência Hospitalar e Ambulatorial;Segurança Pública;PR (UF);28/10/2024
DEPUTADO HERCÍLIO DINIZ;2024;20243359;Bancada;R$ 2,354,732,39;DF;Atenção Básica à Saúde;Ensino Fundamental;SP (UF);02/12/2024
JULIO CESAR RIBEIRO;2024;20247196;Individual;R$ 1,824,964,07;MG;Saneamento Básico;Segurança Pública;DF (UF);17/06/2024
DANIEL ALMEIDA;2024;20243395;Individual;R$ 4,803,013,37;RJ;Educação Infantil;Saneamento Básico;PR (UF);20/02/2024
DEPUTADO FELIPE BORNIER;2024;20242319;Comissão;R$ 3,967,612,44;RJ;Saneamento Básico;Educação Infantil;PR (UF);01/12/2024
GUILHERME MUSSI;2024;20241489;Bancada;R$ 2,701,749,00;RS;Educação Infantil;Ensino Médio;PE (UF);24/08/2024
ELICORRÊA FILHO;2024;20246075;Comissão;R$ 1,220,154,65;RS;Ensino Fundamental;Infraestrutura Urbana;PE (UF);12/10/2024
GUILHERME MUSSI;2024;20244778;Individual;R$ 1,820,591,07;RJ;Ensino Fundamental;Ensino Superior;RS (UF);14/07/2024
DEPUTADO FELIPE BORNIER;2024;20242386;Individual;R$ 4,334,788,55;SP;Ensino Médio;Atenção Básica à Saúde;DF (UF);14/05/2024
GUILHERME MUSSI FILHO;2024;20242342;Individual;R$ 1,727,992,42;RS;Saneamento Básico;Educação Infantil;RS (UF);16/02/2024
FELIPE BORNIER;2024;20246031;Individual;R$ 3,350,882,83;RJ;Ensino Superior;Vigilância Epidemiológica;SC (UF);10/12/2024
ALENCAR SANTANA;2024;20245252;Individual;R$ 4,202,238,97;SC;Educação Infantil;Ensino Fundamental;RS (UF);23/10/2024
FELIPE BORNIER;2024;20241742;Bancada;R$ 288,876,41;BA;Educação Infantil;Atenção Básica à Saúde;PE (UF);05/01/2024
DEPUTADO ALENCAR SANTANA;2024;20247333;Comissão;R$ 1,552,833,17;GO;Vigilância Epidemiológica;Ensino Superior;SC (UF);18/01/2024
DEPUTADO ELICORRÊA;2024;20242951;Comissão;R$ 4,788,074,87;SC;Infraestrutura Urbana;Ensino Superior;RJ (UF);26/12/2024
CARLOS ZARATTINI;2024;20243031;Individual;R$ 2,555,976,45;PE;Assistência Hospitalar e Ambulatorial;Educação Infantil;BA (UF);05/01/2024
EDUARDO BARBOSA;2024;20245431;Bancada;R$ 3,398,035,54;BA;Ensino Superior;Vigilância Epidemiológica;PR (UF);08/05/2024
ELICORRÊA;2024;20245095;Comissão;R$ 1,826,338,66;BA;Ensino Médio;Assistência Hospitalar e Ambulatorial;PE (UF);06/08/2024
BACELAR;2024;20243148;Comissão;R$ 2,081,049,60;PE;Saneamento Básico;Ensino Fundamental;RS (UF);25/04/2024
